"Scientific" "BodyMass.Value" "Trophic_level" "Lifespan"
"Taeromys celebensis" 323 NA NA
"Tarsomys echinatus" 96.2 NA NA
"Tarsomys apoensis" 75 NA NA
"Tateomys macrocercus" 42.7 NA NA
"Tateomys rhinogradoides" 82.8 NA NA
"Thallomys loringi" 66.45 NA NA
"Thallomys shortridgei" 67.17 NA NA
"Thallomys nigricauda" 124.7 NA NA
"Thallomys paedulcus" 80.5 NA 3.5
"Thamnomys kempi" 75 NA NA
"Thamnomys major" 68.12 NA NA
"Thamnomys venustus" 61.88 NA NA
"Tokudaia muenninki" 177.4 NA NA
"Tokudaia osimensis" 129.6 NA NA
"Tryphomys adustus" 136.47 NA NA
"Uromys siebersi" 521.53 NA NA
"Uromys boeadii" 521.53 NA NA
"Uromys anak" 664.5 1 NA
"Uromys hadrourus" 194 1 NA
"Uromys emmae" 521.53 NA NA
"Uromys neobritannicus" 612.49 NA NA
"Uromys caudimaculatus" 606.75 2 NA
"Uromys porculus" 521.53 NA NA
"Uromys rex" 420 NA NA
"Uromys imperator" 1000 NA NA
"Vandeleuria nilagirica" 23.79 NA NA
"Vandeleuria nolthenii" 56.6 NA NA
"Vandeleuria oleracea" 10 NA NA
"Vernaya fulva" 24.85 NA NA
"Xenuromys barbatus" 1000 2 NA
"Xeromys myoides" 41 3 NA
"Zelotomys hildegardeae" 60 NA NA
"Zelotomys woosnami" 54.1 NA NA
"Zyzomys argurus" 36 NA NA
"Zyzomys maini" 94 NA NA
"Zyzomys palatilis" 123 NA 6.2
"Zyzomys pedunculatus" 100 NA 7.5
"Zyzomys woodwardi" 136 NA NA
"Leimacomys buttneri" 55 NA NA
"Myotomys sloggetti" 106.25 NA NA
"Myotomys unisulcatus" 102.5 1 NA
"Otomys irroratus" 118.02 1 NA
"Otomys typus" 115.44 NA NA
"Otomys tropicalis" 108.83 NA NA
"Otomys saundersiae" 103 NA NA
"Otomys orestes" 127.2 NA NA
"Otomys occidentalis" 115.77 NA NA
"Otomys maximus" 192 NA NA
"Otomys laminatus" 145 NA NA
"Otomys angoniensis" 121.9 1 NA
"Otomys jacksoni" 127.2 NA NA
"Otomys uzungwensis" 127.2 NA NA
"Otomys dollmani" 127.2 NA NA
"Otomys denti" 120 NA NA
"Otomys dartmouthi" 127.2 NA NA
"Otomys cuanzensis" 127.2 NA NA
"Otomys burtoni" 127.2 NA NA
"Otomys barbouri" 127.2 NA NA
"Otomys anchietae" 115.9 NA NA
"Otomys lacustris" 127.2 NA NA
"Parotomys littledalei" 127 NA NA
"Parotomys brantsii" 129.5 NA NA
"Platacanthomys lasiurus" 75 NA 1.7
"Typhlomys cinereus" 31.2 NA NA
"Eospalax fontanierii" 256.76 NA NA
"Eospalax rothschildi" 256.76 NA NA
"Eospalax smithii" 256.76 NA NA
"Myospalax psilurus" 259.21 NA NA
"Myospalax aspalax" 237.75 NA NA
"Myospalax myospalax" 225 NA NA
"Cannomys badius" 650 NA 4.8
"Rhizomys sinensis" 865 NA NA
"Rhizomys sumatrensis" 1625 NA NA
"Rhizomys pruinosus" 2450 NA NA
"Spalax graecus" 316.04 NA NA
"Spalax nehringi" 295.05 NA NA
"Spalax uralensis" 295.05 NA NA
"Spalax microphthalmus" 470 NA NA
"Spalax leucodon" 188.67 2 4.5
"Spalax judaei" 295.05 NA NA
"Spalax giganteus" 301.96 NA NA
"Spalax galili" 295.05 NA NA
"Spalax ehrenbergi" 164.35 NA 20.2
"Spalax arenarius" 520 NA NA
"Spalax carmeli" 295.05 NA NA
"Spalax zemni" 316.28 NA NA
"Spalax golani" 295.05 NA NA
"Tachyoryctes ibeanus" 309.95 NA NA
"Tachyoryctes storeyi" 309.95 NA NA
"Tachyoryctes splendens" 212.25 NA NA
"Tachyoryctes spalacinus" 309.95 NA NA
"Tachyoryctes ruddi" 309.95 NA NA
"Tachyoryctes ruandae" 309.95 NA NA
"Tachyoryctes rex" 309.95 NA NA
"Tachyoryctes macrocephalus" 596.99 1 NA
"Tachyoryctes daemon" 309.95 NA NA
"Tachyoryctes audax" 235 NA NA
"Tachyoryctes annectens" 309.95 NA NA
"Tachyoryctes ankoliae" 309.95 NA NA
"Tachyoryctes naivashae" 309.95 NA NA
"Calomyscus grandis" 18.62 NA NA
"Calomyscus tsolovi" 21.43 NA NA
"Calomyscus urartensis" 21.22 NA NA
"Calomyscus hotsoni" 21.42 NA NA
"Calomyscus baluchi" 21.39 NA NA
"Calomyscus bailwardi" 20.4 NA 9.4
"Calomyscus mystax" 17 NA NA
"Calomyscus elburzensis" 18.62 NA NA
"Anomalurus beecrofti" 389 NA NA
"Anomalurus derbianus" 649.99 1 NA
"Anomalurus pelii" 1769.99 NA NA
"Anomalurus pusillus" 250 NA NA
"Idiurus macrotis" 30 1 NA
"Idiurus zenkeri" 100 NA NA
"Zenkerella insignis" 200 NA NA
"Pedetes capensis" 3155 1 20
"Pedetes surdaster" 3155 NA NA
"Ctenodactylus vali" 175 1 5
"Ctenodactylus gundi" 289 NA 5.8
"Felovia vae" 205 1 NA
"Massoutiera mzabi" 194 1 NA
"Pectinator spekei" 160 1 10
"Bathyergus janetta" 332 1 NA
"Bathyergus suillus" 625 1 NA
"Cryptomys hottentotus" 101.95 1 11
"Cryptomys zechi" 223.06 NA NA
"Cryptomys ochraceocinereus" 200 NA NA
"Cryptomys mechowi" 272 1 16
"Cryptomys kafuensis" 125.41 NA NA
"Cryptomys darlingi" 65.58 NA NA
"Cryptomys damarensis" 153.25 1 15.5
"Cryptomys bocagei" 94 NA NA
"Cryptomys foxi" 183.14 NA NA
"Cryptomys amatus" 76.74 NA NA
"Cryptomys anselli" 85.59 NA 20.6
"Georychus capensis" 232.67 2 11.2
"Heliophobius argenteocinereus" 181 1 3.1
"Heterocephalus glaber" 55 1 31
"Atherurus macrourus" 2000 2 NA
"Atherurus africanus" 1934 2 22.9
"Hystrix africaeaustralis" 14936.02 1 23.1
"Hystrix cristata" 16250 2 28
"Hystrix indica" 12435.83 2 27.1
"Hystrix brachyura" 8450 2 27.3
"Hystrix javanica" 23014.42 2 NA
"Hystrix pumila" 2740 2 9.5
"Hystrix crassispinis" 5445.03 2 NA
"Hystrix sumatrae" 3260 2 NA
"Trichys fasciculata" 1655 NA 10.1
"Petromus typicus" 224 1 NA
"Ctenomys juris" 259.74 NA NA
"Ctenomys fodax" 259.74 NA NA
"Ctenomys frater" 172.9 1 NA
"Ctenomys fulvus" 262 1 NA
"Ctenomys leucodon" 243.6 1 NA
"Ctenomys goodfellowi" 259.74 NA NA
"Ctenomys johannis" 259.74 1 NA
"Ctenomys boliviensis" 535 1 NA
"Ctenomys knighti" 316 1 NA
"Ctenomys lami" 259.74 NA NA
"Ctenomys latro" 192 1 NA
"Ctenomys fochi" 259.74 NA NA
"Ctenomys haigi" 164 NA NA
"Ctenomys flamarioni" 259.74 1 NA
"Ctenomys famosus" 259.74 1 NA
"Ctenomys emilianus" 285.3 1 NA
"Ctenomys dorsalis" 165.6 1 NA
"Ctenomys dorbignyi" 259.74 1 NA
"Ctenomys coyhaiquensis" 259.74 NA NA
"Ctenomys conoveri" 860 1 NA
"Ctenomys coludo" 259.74 1 NA
"Ctenomys lewisi" 117.2 1 NA
"Ctenomys bonettoi" 202.3 1 NA
"Ctenomys pundti" 259.74 NA NA
"Ctenomys bergi" 259.74 NA NA
"Ctenomys azarae" 400 1 NA
"Ctenomys australis" 361.5 1 NA
"Ctenomys budini" 259.74 NA NA
"Ctenomys scagliai" 259.74 NA NA
"Ctenomys argentinus" 221.3 1 NA
"Ctenomys brasiliensis" 400 NA NA
"Ctenomys yolandae" 259.74 1 NA
"Ctenomys viperinus" 259.74 NA NA
"Ctenomys validus" 232.6 1 NA
"Ctenomys tulduco" 259.74 1 NA
"Ctenomys tucumanus" 217 1 NA
"Ctenomys tuconax" 249 1 NA
"Ctenomys torquatus" 209.5 1 NA
"Ctenomys talarum" 132.33 1 3
"Ctenomys sylvanus" 259.74 NA NA
"Ctenomys steinbachi" 385 1 NA
"Ctenomys pontifex" 400 1 NA
"Ctenomys sericeus" 400 1 NA
"Ctenomys mendocinus" 163.05 1 NA
"Ctenomys saltarius" 230 1 NA
"Ctenomys roigi" 259.74 NA NA
"Ctenomys rionegrensis" 259.74 1 NA
"Ctenomys porteousi" 192.4 1 NA
"Ctenomys pilarensis" 259.74 NA NA
"Ctenomys peruanus" 490 1 NA
"Ctenomys perrensi" 400 1 NA
"Ctenomys pearsoni" 212 1 NA
"Ctenomys osvaldoreigi" 259.74 NA NA
"Ctenomys opimus" 361.5 1 NA
"Ctenomys occultus" 150 1 NA
"Ctenomys minutus" 92 1 NA
"Ctenomys sociabilis" 400 NA NA
"Ctenomys colburni" 400 1 NA
"Ctenomys magellanicus" 272 1 NA
"Ctenomys maulinus" 215 1 NA
"Phyllomys medius" 298.33 NA NA
"Phyllomys mantiqueirensis" 298.33 NA NA
"Phyllomys lundi" 298.33 NA NA
"Phyllomys unicolor" 439 NA NA
"Phyllomys nigrispinus" 224.3 NA NA
"Phyllomys thomasi" 502.14 NA NA
"Phyllomys blainvillii" 243.3 NA NA
"Phyllomys brasiliensis" 312.49 NA NA
"Phyllomys dasythrix" 260 NA NA
"Phyllomys kerri" 298.33 NA NA
"Phyllomys lamarum" 215.19 NA NA
"Phyllomys pattoni" 298.33 NA NA
"Callistomys pictus" 518.99 NA NA
"Diplomys rufodorsalis" 144.8 1 NA
"Diplomys labilis" 227.5 1 NA
"Diplomys caniceps" 394.5 1 NA
"Echimys chrysurus" 652.5 1 NA
"Echimys semivillosus" 200 1 NA
"Echimys saturnus" 626.9 NA NA
"Isothrix sinnamariensis" 291.73 NA NA
"Isothrix pagurus" 210 NA NA
"Isothrix negrensis" 300.97 NA NA
"Isothrix bistriata" 445 NA NA
"Makalata grandis" 584 NA NA
"Makalata rhipidura" 315 NA NA
"Makalata occasius" 322.29 NA NA
"Makalata macrura" 439 NA NA
"Makalata didelphoides" 398.66 NA 3.1
"Makalata obscura" 108 NA NA
"Carterodon sulcidens" 113.8 NA NA
"Clyomys bishopi" 30 NA NA
"Clyomys laticeps" 201 NA NA
"Euryzygomatomys spinosus" 187.5 NA NA
"Hoplomys gymnurus" 240 1 7
"Lonchothrix emiliae" 138.2 NA NA
"Mesomys stimulax" 108 NA NA
"Mesomys hispidus" 175 2 NA
"Mesomys occultus" 126.85 NA NA
"Mesomys leniceps" 108 NA NA
"Proechimys pattoni" 292.04 NA NA
"Proechimys oconnelli" 285 NA NA
"Proechimys trinitatus" 296.15 NA NA
"Proechimys urichi" 285 NA NA
"Proechimys steerei" 285 2 NA
"Proechimys guairae" 400 1 NA
"Proechimys simonsi" 285 2 NA
"Proechimys semispinosus" 360.5 2 5.8
"Proechimys roberti" 284.99 NA NA
"Proechimys poliopus" 285 NA NA
"Proechimys decumanus" 285 NA NA
"Proechimys goeldii" 285 NA NA
"Proechimys quadruplicatus" 285 NA NA
"Proechimys echinothrix" 292.04 NA NA
"Proechimys mincae" 285 NA NA
"Proechimys cuvieri" 330 2 NA
"Proechimys chrysaeolus" 285 NA NA
"Proechimys canicollis" 285 NA NA
"Proechimys guyannensis" 314.03 1 4.8
"Proechimys hoplomyoides" 285 NA NA
"Proechimys kulinae" 292.04 NA NA
"Proechimys longicaudatus" 205 2 NA
"Proechimys gardneri" 292.04 NA NA
"Proechimys magdalenae" 285 NA NA
"Proechimys brevicauda" 285 2 6.8
"Thrichomys inermis" 339 NA NA
"Thrichomys pachyurus" 339 NA NA
"Thrichomys apereoides" 339 NA 7
"Trinomys paratus" 235.59 NA NA
"Trinomys dimidiatus" 167.6 NA NA
"Trinomys gratiosus" 235.59 NA NA
"Trinomys iheringi" 220.39 NA NA
"Trinomys mirapitanga" 235.59 NA NA
"Trinomys moojeni" 235.59 NA NA
"Trinomys myosuros" 284.99 NA NA
"Trinomys eliasi" 200 NA NA
"Trinomys yonenagae" 235.59 NA NA
"Trinomys albispinus" 284.99 NA NA
"Trinomys setosus" 284.99 NA NA
"Dactylomys peruanus" 382 NA NA
"Dactylomys dactylinus" 649.99 2 NA
"Dactylomys boliviensis" 728.8 NA NA
"Kannabateomys amblyonyx" 600 1 1.6
"Olallamys edax" 206.4 NA NA
"Olallamys albicauda" 273.5 NA NA
"Boromys offella" 272.28 NA NA
"Boromys torrei" 272.28 NA NA
"Brotomys contractus" 272.28 NA NA
"Brotomys voratus" 272.28 NA NA
"Heteropsomys insulans" 272.28 NA NA
"Heteropsomys antillensis" 272.28 NA NA
"Thryonomys gregorianus" 2707.14 NA NA
"Thryonomys swinderianus" 3180.02 1 5.4
"Chaetomys subspinosus" 1299.99 1 NA
"Coendou rothschildi" 2000 1 NA
"Coendou prehensilis" 4399.97 1 26.6
"Coendou nycthemera" 2999.98 NA NA
"Coendou bicolor" 4050.05 1 NA
"Echinoprocta rufescens" 831.8 NA NA
"Erethizon dorsatum" 7085.33 1 18
"Sphiggurus insidiosus" 1000 2 NA
"Sphiggurus villosus" 1750.01 NA NA
"Sphiggurus vestitus" 736 NA NA
"Sphiggurus melanurus" 1900 NA NA
"Sphiggurus roosmalenorum" 1242.24 NA NA
"Sphiggurus mexicanus" 2000 1 16.7
"Sphiggurus pruinosus" 1242.24 NA NA
"Sphiggurus ichillus" 1242.24 NA NA
"Sphiggurus spinosus" 750.79 NA NA
"Chinchilla chinchilla" 499.99 1 10
"Chinchilla lanigera" 417 1 17.2
"Lagidium wolffsohni" 2682.01 NA NA
"Lagidium peruanum" 1220 1 19.5
"Lagidium viscacia" 1540 NA 19.5
"Lagostomus crassus" 4647.51 NA NA
"Lagostomus maximus" 4647.51 1 10.8
"Dinomys branickii" 12500 1 12.8
"Cavia intermedia" 578.88 NA NA
"Cavia aperea" 549 1 6
"Cavia fulgida" 282.5 NA NA
"Cavia porcellus" 728 NA 12
"Cavia tschudii" 1000 NA 6.3
"Cavia magna" 460 NA NA
"Galea musteloides" 480 1 3.5
"Galea spixii" 326.2 1 4.6
"Galea flavidens" 450 1 NA
"Microcavia australis" 286.1 1 NA
"Microcavia niata" 255.2 1 NA
"Microcavia shiptoni" 185 NA NA
"Dolichotis salinicola" 1600 1 NA
"Dolichotis patagonum" 8000 1 14.4
"Hydrochoerus hydrochaeris" 48144.91 1 15.1
"Hydrochoerus isthmius" 21267.32 NA NA
"Kerodon rupestris" 800 1 12.9
"Kerodon acrobata" 800 NA NA
"Dasyprocta azarae" 2309.99 1 11.8
"Dasyprocta guamara" 2650.03 1 NA
"Dasyprocta ruatanica" 2857.13 1 13.7
"Dasyprocta fuliginosa" 3500.02 1 18
"Dasyprocta kalinowskii" 2650.03 1 NA
"Dasyprocta cristata" 2650.03 1 14
"Dasyprocta leporina" 3020.02 1 17.8
"Dasyprocta mexicana" 5000 1 13.1
"Dasyprocta prymnolopha" 2900.01 1 16.3
"Dasyprocta punctata" 2674.98 1 13.8
"Dasyprocta coibae" 2660.13 1 NA
"Myoprocta pratti" 966.73 NA NA
"Myoprocta acouchy" 600 1 14.8
"Cuniculus taczanowskii" 8999.95 1 18.9
"Cuniculus paca" 8172.55 1 16.3
"Aconaemys sagei" 96.5 NA NA
"Aconaemys fuscus" 133.5 1 NA
"Aconaemys porteri" 113.5 NA NA
"Octodon pacificus" 194.34 NA NA
"Octodon bridgesi" 150 1 NA
"Octodon degus" 210 2 14
"Octodon lunatus" 233 1 NA
"Octodontomys gliroides" 150 1 7.333333333
"Octomys mimax" 131 1 NA
"Pipanacoctomys aureus" 136.62 NA NA
"Salinoctomys loschalchalerosorum" 136.62 NA NA
"Spalacopus cyanus" 127.5 1 10.8
"Tympanoctomys barrerae" 70 1 NA
"Abrocoma boliviensis" 158 NA NA
"Abrocoma budini" 214.69 NA NA
"Abrocoma cinerea" 250 NA NA
"Abrocoma famatina" 214.69 NA NA
"Abrocoma shistacea" 214.69 NA NA
"Abrocoma uspallata" 214.69 NA NA
"Abrocoma vaccarum" 214.69 NA NA
"Abrocoma bennettii" 250.5 NA 2.3
"Cuscomys ashaninka" 910 NA NA
"Cuscomys oblativa" 910 NA NA
"Myocastor coypus" 6937.45 2 8.5
"Capromys pilorides" 5650 2 13.8
"Capromys gundlachianus" 5650 NA NA
"Geocapromys brownii" 1500 1 13.5
"Geocapromys ingrahami" 800 1 6
"Geocapromys thoracatus" 1500 1 NA
"Mesocapromys nanus" 583.33 2 NA
"Mesocapromys sanfelipensis" 554.44 2 NA
"Mesocapromys melanurus" 883.14 2 NA
"Mesocapromys auritus" 585.55 2 NA
"Mesocapromys angelcabrerai" 470 2 NA
"Mysateles meridionalis" 884.61 NA NA
"Mysateles prehensilis" 926.71 2 NA
"Mysateles garridoi" 929.09 2 NA
"Hexolobodon phenax" 1350.1 NA NA
"Isolobodon montanus" 1350.1 NA NA
"Isolobodon portoricensis" 1350.1 NA NA
"Plagiodontia araeum" 1267 NA NA
"Plagiodontia ipnaeum" 1267 NA NA
"Plagiodontia aedium" 1267 1 15.9
"Rhizoplagiodontia lemkei" 1350.1 NA NA
"Ochotona cansus" 68.75 1 5
"Ochotona nubrica" 116.21 NA NA
"Ochotona pusilla" 142.5 1 4
"Ochotona rufescens" 250 NA NA
"Ochotona dauurica" 109 1 NA
"Ochotona thibetana" 83.1 NA NA
"Ochotona thomasi" 111.63 NA NA
"Ochotona huangensis" 105.33 NA NA
"Ochotona curzoniae" 131.48 1 NA
"Ochotona turuchanensis" 142.15 NA NA
"Ochotona princeps" 157.63 1 7
"Ochotona pallasi" 149.62 NA 4
"Ochotona hyperborea" 120 NA 9.4
"Ochotona alpina" 150 NA 3
"Ochotona argentata" 142.15 NA NA
"Ochotona hoffmanni" 142.15 NA NA
"Ochotona collaris" 129 1 6
"Ochotona roylei" 260 NA NA
"Ochotona erythrotis" 181 NA NA
"Ochotona forresti" 111.65 NA NA
"Ochotona gaoligongensis" 111.61 NA NA
"Ochotona ladacensis" 182.19 1 NA
"Ochotona rutila" 182.02 1 NA
"Ochotona koslowi" 182.03 NA NA
"Ochotona gloveri" 181.97 NA NA
"Ochotona macrotis" 260 NA NA
"Ochotona muliensis" 182 NA NA
"Ochotona nigritia" 142.15 NA NA
"Ochotona himalayana" 189.31 NA NA
"Ochotona iliensis" 209.75 NA NA
"Brachylagus idahoensis" 421.34 1 NA
"Bunolagus monticularis" 1750.01 1 NA
"Caprolagus hispidus" 2497 1 NA
"Lepus arcticus" 4405.04 1 7
"Lepus othus" 4805.96 1 NA
"Lepus timidus" 3048 NA 18
"Lepus alleni" 3685.02 1 NA
"Lepus americanus" 1710.02 1 8
"Lepus tolai" 1589 NA NA
"Lepus tibetanus" 2451.03 NA NA
"Lepus insularis" 2658.02 NA NA
"Lepus starcki" 2750 NA NA
"Lepus castroviejoi" 2822.41 NA NA
"Lepus comus" 1460 1 NA
"Lepus coreanus" 2017.79 NA NA
"Lepus europaeus" 3740 NA 10.7
"Lepus mandshuricus" 1800 NA NA
"Lepus microtis" 1763.61 1 NA
"Lepus fagani" 2048.51 NA NA
"Lepus peguensis" 2267.5 NA NA
"Lepus hainanus" 2000 NA NA
"Lepus nigricollis" 2298.5 NA NA
"Lepus sinensis" 1510 NA NA
"Lepus habessinicus" 2015.56 NA NA
"Lepus brachyurus" 2519.45 NA 13
"Lepus saxatilis" 2363.33 NA NA
"Lepus townsendii" 1555 1 8
"Lepus callotis" 2500 1 NA
"Lepus californicus" 2422.48 1 11.8
"Lepus oiostolus" 3000 1 NA
"Lepus flavigularis" 2999.99 1 NA
"Lepus capensis" 3261.67 1 NA
"Lepus granatensis" 4010 NA NA
"Lepus corsicanus" 3000 NA NA
"Lepus yarkandensis" 1460.41 1 NA
"Sylvilagus insonus" 2999.99 NA NA
"Sylvilagus obscurus" 1218.45 NA NA
"Sylvilagus cognatus" 1218.45 NA NA
"Sylvilagus transitionalis" 656.7 1 9.3
"Sylvilagus nuttallii" 755.09 1 7.4
"Sylvilagus graysoni" 964.01 NA NA
"Sylvilagus floridanus" 1172.79 1 9.8
"Sylvilagus cunicularius" 2999.99 1 NA
"Sylvilagus robustus" 1218.45 NA NA
"Sylvilagus audubonii" 889.63 1 7.8
"Sylvilagus varynaensis" 1218.45 NA NA
"Sylvilagus brasiliensis" 949.99 1 NA
"Sylvilagus aquaticus" 2135.8 1 NA
"Sylvilagus palustris" 1500 1 7.6
"Sylvilagus bachmani" 643.25 1 NA
"Sylvilagus dicei" 1343.35 1 9
"Sylvilagus mansuetus" 811.92 NA NA
"Nesolagus timminsi" 1500 NA NA
"Nesolagus netscheri" 1500 1 NA
"Oryctolagus cuniculus" 1832.22 1 9
"Pentalagus furnessi" 2396.25 1 NA
"Poelagus marjorita" 2500 NA NA
"Pronolagus crassicaudatus" 2089 1 NA
"Pronolagus randensis" 2335.02 1 NA
"Pronolagus rupestris" 1754 1 NA
"Romerolagus diazi" 476.65 1 NA
"Atelerix albiventris" 600 2 11.4
"Atelerix algirus" 1250 2 7
"Atelerix frontalis" 309.5 2 NA
"Atelerix sclateri" 539.15 NA NA
"Erinaceus amurensis" 571.88 3 8
"Erinaceus roumanicus" 744.55 NA NA
"Erinaceus concolor" 719 2 7
"Erinaceus europaeus" 771 2 11.7
"Hemiechinus auritus" 342 2 7.6
"Hemiechinus collaris" 141 3 NA
"Mesechinus dauuricus" 342 3 NA
"Mesechinus hughi" 315.81 3 NA
"Paraechinus aethiopicus" 352.4 3 6.3
"Paraechinus hypomelas" 213 2 7
"Paraechinus micropus" 171 3 NA
"Paraechinus nudiventris" 234.14 3 NA
"Echinosorex gymnura" 957 2 7
"Hylomys suillus" 65.83 2 NA
"Hylomys megalotis" 65.83 NA NA
"Hylomys parvus" 65.83 NA NA
"Neohylomys hainanensis" 52.21 3 NA
"Neotetracus sinensis" 290.15 3 NA
"Podogymnura truei" 114 2 NA
"Podogymnura aureospinula" 247 NA NA
"Solenodon paradoxus" 900 3 12.1
"Solenodon marcanoi" 764.85 NA NA
"Solenodon cubanus" 650 3 6.5
"Solenodon arredondoi" 764.85 NA NA
"Crocidura phaeura" 10.35 NA NA
"Crocidura orii" 14.4 NA NA
"Crocidura nigricans" 20 NA NA
"Crocidura nigrofusca" 11.75 NA NA
"Crocidura nimbae" 15.5 NA NA
"Crocidura niobe" 16 NA NA
"Crocidura obscurior" 10.35 NA NA
"Crocidura olivieri" 57.95 NA NA
"Crocidura orientalis" 15.8 NA NA
"Crocidura nigripes" 13.2 NA NA
"Crocidura palawanensis" 10.35 NA NA
"Crocidura paradoxura" 8.23 NA NA
"Crocidura parvipes" 10.35 NA NA
"Crocidura nigeriae" 23 NA NA
"Crocidura pergrisea" 10.1 NA NA
"Crocidura nana" 10.35 NA NA
"Crocidura picea" 10.35 NA NA
"Crocidura pitmani" 10.35 NA NA
"Crocidura planiceps" 2.5 NA NA
"Crocidura poensis" 16.57 NA NA
"Crocidura pasha" 6.5 NA NA
"Crocidura miya" 10.2 NA NA
"Crocidura macarthuri" 10.35 NA NA
"Crocidura zimmermanni" 10.35 NA NA
"Crocidura macmillani" 10.35 NA NA
"Crocidura macowi" 10.35 NA NA
"Crocidura malayana" 12.7 NA NA
"Crocidura manengubae" 10.35 NA NA
"Crocidura maquassiensis" 6 3 NA
"Crocidura mariquensis" 11.25 3 NA
"Crocidura maurisca" 14 NA NA
"Crocidura negligens" 10.42 NA NA
"Crocidura mindorus" 18 NA NA
"Crocidura nicobarica" 28.9 3 NA
"Crocidura monax" 16 NA NA
"Crocidura monticola" 6.6 NA NA
"Crocidura montis" 14.5 NA NA
"Crocidura muricauda" 10.35 NA NA
"Crocidura musseri" 10.42 NA NA
"Crocidura mutesae" 23.91 NA NA
"Crocidura religiosa" 7 NA NA
"Crocidura nanilla" 6.5 NA NA
"Crocidura polia" 10.35 NA NA
"Crocidura negrina" 11.33 NA NA
"Crocidura maxi" 7.53 NA NA
"Crocidura vosmaeri" 10.42 NA NA
"Crocidura rapax" 10.42 NA NA
"Crocidura theresae" 17.6 NA NA
"Crocidura thomensis" 10.35 NA NA
"Crocidura trichura" 10.42 NA NA
"Crocidura turba" 14.5 NA NA
"Crocidura ultima" 16 NA NA
"Crocidura usambarae" 9.7 NA NA
"Crocidura viaria" 17 NA NA
"Crocidura virgata" 10.42 NA NA
"Crocidura tenuis" 9.43 NA NA
"Crocidura vorax" 10.42 NA NA
"Crocidura telfordi" 10.35 NA NA
"Crocidura watasei" 10.42 NA NA
"Crocidura whitakeri" 5.5 NA NA
"Crocidura wimmeri" 23.5 NA NA
"Crocidura wuchihensis" 4.3 NA NA
"Crocidura xantippe" 10.35 NA NA
"Crocidura yankariensis" 5 NA NA
"Crocidura zaphiri" 10.35 NA NA
"Crocidura zarudnyi" 6.71 NA NA
"Crocidura lucina" 10.35 NA NA
"Crocidura voi" 10.35 NA NA
"Crocidura silacea" 8 3 NA
"Crocidura raineyi" 14.5 NA NA
"Crocidura ramona" 10.42 NA NA
"Crocidura zimmeri" 14.5 NA NA
"Crocidura rhoditis" 14 NA NA
"Crocidura roosevelti" 10.35 NA NA
"Crocidura russula" 8.2 3 4
"Crocidura selina" 10.35 NA NA
"Crocidura serezkyensis" 10.35 NA NA
"Crocidura shantungensis" 10.42 NA NA
"Crocidura thalia" 10.35 NA NA
"Crocidura sicula" 6.9 NA NA
"Crocidura pullata" 10.35 NA NA
"Crocidura smithii" 10.35 NA NA
"Crocidura somalica" 11.5 NA NA
"Crocidura stenocephala" 21 NA NA
"Crocidura suaveolens" 5.19 2 2.8
"Crocidura susiana" 10.35 NA NA
"Crocidura tanakae" 10.42 NA NA
"Crocidura tansaniana" 10.35 NA NA
"Crocidura tarella" 10.35 NA NA
"Crocidura tarfayensis" 6.5 NA NA
"Crocidura sibirica" 10.35 NA NA
"Crocidura eisentrauti" 10.35 NA NA
"Crocidura floweri" 10.35 NA NA
"Crocidura crossei" 6.9 NA NA
"Crocidura cyanea" 9.35 2 NA
"Crocidura denti" 7 NA NA
"Crocidura desperata" 10.35 NA NA
"Crocidura dhofarensis" 5.8 NA NA
"Crocidura dolichura" 5.7 NA NA
"Crocidura congobelgica" 10.35 NA NA
"Crocidura dsinezumi" 10.21 NA NA
"Crocidura cinderella" 10.35 NA NA
"Crocidura elgonius" 6.5 NA NA
"Crocidura allex" 10.35 NA NA
"Crocidura aleksandrisi" 10.35 NA NA
"Crocidura luna" 14.5 3 NA
"Crocidura lusitania" 2 NA NA
"Crocidura elongata" 17.8 NA NA
"Crocidura andamanensis" 10.35 NA NA
"Crocidura fischeri" 10.35 NA NA
"Crocidura douceti" 4.3 NA NA
"Crocidura beatus" 10.55 NA NA
"Crocidura ansellorum" 10.35 NA NA
"Crocidura arabica" 5.86 NA NA
"Crocidura arispa" 10.42 NA NA
"Crocidura armenica" 10.35 NA NA
"Crocidura attenuata" 14.27 NA NA
"Crocidura attila" 10.35 NA NA
"Crocidura baileyi" 10.35 NA NA
"Crocidura crenata" 6.52 NA NA
"Crocidura batesi" 15.5 NA NA
"Crocidura flavescens" 28.49 3 2.2
"Crocidura beccarii" 10.35 NA NA
"Crocidura bottegi" 3.5 NA NA
"Crocidura bottegoides" 3.07 NA NA
"Crocidura brunnea" 10.42 NA NA
"Crocidura buettikoferi" 10.35 NA NA
"Crocidura caliginea" 10.35 NA NA
"Crocidura canariensis" 7.5 NA NA
"Crocidura caspica" 10.42 NA NA
"Crocidura baluensis" 16.9 NA NA
"Crocidura lanosa" 22.6 NA NA
"Crocidura hispida" 10.35 NA NA
"Crocidura horsfieldii" 5 NA NA
"Crocidura hutanis" 10.42 NA NA
"Crocidura ichnusae" 10.35 NA NA
"Crocidura indochinensis" 10.42 NA NA
"Crocidura jacksoni" 7 NA NA
"Crocidura jenkinsi" 12.6 NA NA
"Crocidura jouvenetae" 9.79 NA NA
"Crocidura katinka" 10.42 NA NA
