species	order_pbdb	order_now	fam_pbdb	fam_now	genus	species	occ_pbdb	occ_now
Leptoplesictis namibiensis	carnivora	NA	viverridae	NA	leptoplesictis	namibiensis	1	NA
Alilepus hibbardi	lagomorpha	NA	leporidae	NA	alilepus	hibbardi	3	NA
Litolophus gobiensis	perissodactyla	NA	eomoropidae	NA	litolophus	gobiensis	2	NA
Plesiaceratherium fahlbuschi	NA	perissodactyla	NA	rhinocerotidae	plesiaceratherium	fahlbuschi	NA	7
Petaurus norfolcensis	diprotodontia	NA	petauridae	NA	petaurus	norfolcensis	2	NA
Granastrapotherium snorki	astrapotheria	NA	astrapotheriidae	NA	granastrapotherium	snorki	9	NA
Miophiomys arambourgi	NA	rodentia	NA	thryonomyidae	miophiomys	arambourgi	NA	1
Surameryx acrensis	artiodactyla	NA	palaeomerycidae	NA	surameryx	acrensis	1	NA
Khasia cordillerensis	microbiotheria	NA	microbiotheriidae	NA	khasia	cordillerensis	1	NA
Meriones unguiculatus	rodentia	rodentia	muridae	gerbillidae	meriones	unguiculatus	1	2
Hemicyon hurzeleri	NA	carnivora	NA	ursidae	hemicyon	hurzeleri	NA	1
Archaeotherium marshi	artiodactyla	NA	NA	NA	archaeotherium	marshi	3	NA
Miotapirus harrisonensis	perissodactyla	NA	tapiridae	NA	miotapirus	harrisonensis	3	NA
Baranogale beremendensis	NA	carnivora	NA	mustelidae	baranogale	beremendensis	NA	1
Oioceros jiulongkouensis	artiodactyla	artiodactyla	bovidae	bovidae	oioceros	jiulongkouensis	1	1
Ambloctonus priscus	creodonta	NA	amblyctonidae	NA	ambloctonus	priscus	1	NA
Myospalax tingi	NA	rodentia	NA	muridae	myospalax	tingi	NA	5
Similisciurus maxwelli	rodentia	NA	sciuridae	NA	similisciurus	maxwelli	2	NA
Sianodon sinensis	perissodactyla	NA	amynodontidae	NA	sianodon	sinensis	8	NA
Utahia kayi	primates	NA	omomyidae	NA	utahia	kayi	1	NA
Lophiodon filholi	perissodactyla	NA	lophiodontidae	NA	lophiodon	filholi	8	NA
Monotrematum sudamericanum	monotremata	NA	ornithorhynchidae	NA	monotrematum	sudamericanum	1	NA
Bunophorus robustus	artiodactyla	NA	diacodexeidae	NA	bunophorus	robustus	36	NA
Promephitis pristinidens	NA	carnivora	NA	mustelidae	promephitis	pristinidens	NA	2
Niglarodon progressus	rodentia	NA	aplodontidae	NA	niglarodon	progressus	1	NA
Heteroxerus paulhiacensis	NA	rodentia	NA	sciuridae	heteroxerus	paulhiacensis	NA	24
Eucricetodon youngi	rodentia	rodentia	cricetidae	cricetidae	eucricetodon	youngi	2	1
Oligosorex thauensis	NA	eulipotyphla	NA	soricidae	oligosorex	thauensis	NA	11
Petaurista NA	NA	rodentia	NA	sciuridae	petaurista	NA	NA	3
Tokarahia lophocephalus	cetacea	NA	eomysticetidae	NA	tokarahia	lophocephalus	1	NA
Tashkumyrodon desideratus	docodonta	NA	NA	NA	tashkumyrodon	desideratus	2	NA
Rhinoceros kagavena	NA	perissodactyla	NA	rhinocerotidae	rhinoceros	kagavena	NA	1
Homo georgicus	primates	primates	hominidae	hominidae	homo	georgicus	1	1
Derorhynchus minutus	marsupialia	NA	derorhynchidae	NA	derorhynchus	minutus	4	NA
Euprox NA	NA	artiodactyla	NA	cervidae	euprox	NA	NA	12
Sciuropterus volans	rodentia	NA	sciuridae	NA	sciuropterus	volans	21	NA
Sianodon gaowangouensis	perissodactyla	NA	amynodontidae	NA	sianodon	gaowangouensis	1	NA
Thryonomys gregorianus	NA	rodentia	NA	thryonomyidae	thryonomys	gregorianus	NA	2
Rusa NA	NA	artiodactyla	NA	cervidae	rusa	NA	NA	6
Kochalia geespei	NA	rodentia	NA	thryonomyidae	kochalia	geespei	NA	1
Rhagatherium kowalevskyi	artiodactyla	NA	choeropotamidae	NA	rhagatherium	kowalevskyi	4	NA
Praepalaeotragus actauensis	NA	artiodactyla	NA	giraffidae	praepalaeotragus	actauensis	NA	2
Metkatius kashmiriensis	artiodactyla	artiodactyla	raoellidae	raoellidae	metkatius	kashmiriensis	1	1
Euhapsis breugerorum	rodentia	NA	castoridae	NA	euhapsis	breugerorum	1	NA
Oxybunotherium praecursor	condylarthra	NA	didolodontidae	NA	oxybunotherium	praecursor	1	NA
Amphicyon ulungurensis	NA	carnivora	NA	amphicyonidae	amphicyon	ulungurensis	NA	2
Didymoconus NA	NA	leptictida	NA	didymoconidae	didymoconus	NA	NA	1
Nimbadon scottorrorum	diprotodontia	NA	diprotodontidae	NA	nimbadon	scottorrorum	1	NA
Mimetodon douglassi	multituberculata	NA	neoplagiaulacidae	NA	mimetodon	douglassi	7	NA
Deltatherium absarokae	NA	NA	leptictidae	NA	deltatherium	absarokae	40	NA
Praedens aberrans	polydolopimorphia	NA	NA	NA	praedens	aberrans	1	NA
Hyaenodon pervagus	hyaenodonta	creodonta	hyaenodontidae	hyaenodontidae	hyaenodon	pervagus	6	1
Dremomys primitivus	NA	rodentia	NA	sciuridae	dremomys	primitivus	NA	1
Ammospermophilus leucurus	rodentia	NA	sciuridae	NA	ammospermophilus	leucurus	2	NA
Palaeothentes intermedius	paucituberculata	NA	palaeothentidae	NA	palaeothentes	intermedius	7	NA
Neotoma pygmaea	rodentia	NA	cricetidae	NA	neotoma	pygmaea	1	NA
Leptalestes krejcii	NA	NA	pediomyidae	NA	leptalestes	krejcii	23	NA
Microsyops latidens	primates	NA	microsyopidae	NA	microsyops	latidens	40	NA
Sylvilagus palustris	lagomorpha	NA	leporidae	NA	sylvilagus	palustris	10	NA
Valenia wilsoni	condylarthra	NA	hyopsodontidae	NA	valenia	wilsoni	6	NA
Hemiechinus samsonowiczi	NA	eulipotyphla	NA	erinaceidae	hemiechinus	samsonowiczi	NA	1
Stephanomys NA	NA	rodentia	NA	muridae	stephanomys	NA	NA	10
Neophocaena phocaenoides	cetacea	NA	phocoenidae	NA	neophocaena	phocaenoides	7	NA
Cylindrodon nebraskensis	rodentia	NA	cylindrodontidae	NA	cylindrodon	nebraskensis	3	NA
Mimotona robusta	glires	NA	NA	NA	mimotona	robusta	1	NA
Crocidura kronfeldi	NA	eulipotyphla	NA	soricidae	crocidura	kronfeldi	NA	3
Pseudostegotherium chubutanum	cingulata	NA	dasypodidae	NA	pseudostegotherium	chubutanum	2	NA
Algeripithecus minutus	primates	primates	azibiidae	azibiidae	algeripithecus	minutus	4	4
Notiocetus romerianus	cetacea	NA	balaenopteridae	NA	notiocetus	romerianus	1	NA
Microtocricetus molassicus	rodentia	rodentia	cricetidae	muridae	microtocricetus	molassicus	3	12
Hemisyntrachelus oligodon	cetacea	NA	delphinidae	NA	hemisyntrachelus	oligodon	1	NA
Peridyromys ordinasi	NA	rodentia	NA	gliridae	peridyromys	ordinasi	NA	1
Anoplotherium laurillardi	artiodactyla	NA	anoplotheriidae	NA	anoplotherium	laurillardi	5	NA
Eodelphis cutleri	didelphimorphia	NA	stagodontidae	NA	eodelphis	cutleri	4	NA
Prostrepsiceros woodwardi	NA	artiodactyla	NA	bovidae	prostrepsiceros	woodwardi	NA	2
Eomellivora piveteaui	NA	carnivora	NA	mustelidae	eomellivora	piveteaui	NA	3
Hipparion africanum	NA	perissodactyla	NA	equidae	hipparion	africanum	NA	1
Petauristodon uphami	rodentia	NA	sciuridae	NA	petauristodon	uphami	3	NA
Eleutherocercus paranensis	xenarthra	NA	glyptodontidae	NA	eleutherocercus	paranensis	1	NA
Knightomys reginensis	rodentia	NA	sciuravidae	NA	knightomys	reginensis	4	NA
Megacricetodon crisiensis	NA	rodentia	NA	muridae	megacricetodon	crisiensis	NA	1
Vulpavus australis	carnivora	NA	NA	NA	vulpavus	australis	62	NA
Equus huanghoensis	NA	perissodactyla	NA	equidae	equus	huanghoensis	NA	1
Rapamys fricki	rodentia	NA	ischyromyidae	NA	rapamys	fricki	2	NA
Lavocatomys aequatorialis	rodentia	NA	NA	NA	lavocatomys	aequatorialis	1	NA
Werdelinus africanus	NA	carnivora	NA	hyaenidae	werdelinus	africanus	NA	1
Lophocricetus sarmaticus	NA	rodentia	NA	dipodidae	lophocricetus	sarmaticus	NA	1
Raoella dograi	artiodactyla	NA	raoellidae	NA	raoella	dograi	1	NA
Riolestes capricornicus	paucituberculata	NA	NA	NA	riolestes	capricornicus	1	NA
Stehlinia gracilis	chiroptera	NA	vespertilionidae	NA	stehlinia	gracilis	3	NA
Cyrtodelphis bogatshowi	cetacea	NA	eurhinodelphinidae	NA	cyrtodelphis	bogatshowi	1	NA
Brontops dispar	perissodactyla	NA	brontotheriidae	NA	brontops	dispar	2	NA
Democricetodon crusafonti	NA	rodentia	NA	muridae	democricetodon	crusafonti	NA	21
Herpetocetus scaldiensis	cetacea	NA	cetotheriidae	NA	herpetocetus	scaldiensis	9	NA
Gazella wellsi	NA	artiodactyla	NA	bovidae	gazella	wellsi	NA	3
Prolagurus NA	NA	rodentia	NA	muridae	prolagurus	NA	NA	2
Cryptomys damarensis	NA	rodentia	NA	bathyergoidae	cryptomys	damarensis	NA	2
Sciurus olsoni	rodentia	NA	sciuridae	NA	sciurus	olsoni	1	NA
Atavocricetodon atavoides	rodentia	NA	cricetidae	NA	atavocricetodon	atavoides	1	NA
Dipodomys minor	rodentia	NA	heteromyidae	NA	dipodomys	minor	5	NA
Hecubides macrodon	carnivora	NA	amphicyonidae	NA	hecubides	macrodon	2	NA
Mustela nivalis	carnivora	carnivora	mustelidae	mustelidae	mustela	nivalis	22	28
Piezodus branssatensis	NA	lagomorpha	NA	ochotonidae	piezodus	branssatensis	NA	4
Neotoma taylori	rodentia	NA	cricetidae	NA	neotoma	taylori	5	NA
Cervavitus flerovi	NA	artiodactyla	NA	cervidae	cervavitus	flerovi	NA	1
Hapalodectes serus	acreodi	NA	hapalodectidae	NA	hapalodectes	serus	1	NA
Leptarctus supremus	carnivora	NA	mustelidae	NA	leptarctus	supremus	1	NA
Propotamochoerus hysudricus	artiodactyla	artiodactyla	suidae	suidae	propotamochoerus	hysudricus	4	11
Septidelphis morii	cetacea	NA	delphinidae	NA	septidelphis	morii	1	NA
Brachypsalis modicus	carnivora	NA	mustelidae	NA	brachypsalis	modicus	3	NA
Ursavus isorei	NA	carnivora	NA	ursidae	ursavus	isorei	NA	9
Hypolagus beremendensis	NA	lagomorpha	NA	leporidae	hypolagus	beremendensis	NA	9
Sericolagus NA	NA	lagomorpha	NA	leporidae	sericolagus	NA	NA	2
Paracolodon curtus	perissodactyla	NA	tapiridae	NA	paracolodon	curtus	1	NA
Megalohyrax championi	NA	hyracoidea	NA	saghatheriidae	megalohyrax	championi	NA	21
Piscolithax longirostris	cetacea	NA	phocoenidae	NA	piscolithax	longirostris	2	NA
Democricetodon lindsayi	NA	rodentia	NA	muridae	democricetodon	lindsayi	NA	6
Borhyaenidium musteloides	sparassodonta	NA	NA	NA	borhyaenidium	musteloides	1	NA
Aratomys bilikeensis	rodentia	rodentia	cricetidae	muridae	aratomys	bilikeensis	3	2
Muscardinus hispanicus	rodentia	rodentia	gliridae	gliridae	muscardinus	hispanicus	4	46
Galileomys antelucanus	rodentia	NA	acaremyidae	NA	galileomys	antelucanus	2	NA
Lanthanotherium sanmigueli	lipotyphla	NA	erinaceidae	NA	lanthanotherium	sanmigueli	7	NA
Rukwalorax jinokitana	hyracoidea	hyracoidea	NA	indet.	rukwalorax	jinokitana	1	1
Sivacanthion complicates	NA	rodentia	NA	hystricidae	sivacanthion	complicates	NA	1
Bunolistriodon akatikubas	NA	artiodactyla	NA	suidae	bunolistriodon	akatikubas	NA	4
Elephas falconeri	proboscidea	NA	elephantidae	NA	elephas	falconeri	2	NA
Bos gaurus	NA	artiodactyla	NA	bovidae	bos	gaurus	NA	6
Mustela nigripes	carnivora	NA	mustelidae	NA	mustela	nigripes	12	NA
Stephanorhinus etruscus	perissodactyla	perissodactyla	rhinocerotidae	rhinocerotidae	stephanorhinus	etruscus	108	58
Pliocervus NA	NA	artiodactyla	NA	cervidae	pliocervus	NA	NA	8
Galago NA	NA	primates	NA	lorisidae	galago	NA	NA	1
Arvicanthis primaevus	NA	rodentia	NA	muridae	arvicanthis	primaevus	NA	1
Mystipterus pacificus	lipotyphla	NA	talpidae	NA	mystipterus	pacificus	3	NA
Bothriogenys langsonensis	artiodactyla	NA	anthracotheriidae	NA	bothriogenys	langsonensis	1	NA
Talpa gilothi	lipotyphla	eulipotyphla	talpidae	talpidae	talpa	gilothi	6	19
Taphozous NA	NA	chiroptera	NA	emballonuridae	taphozous	NA	NA	4
Aelurodon stirtoni	carnivora	NA	canidae	NA	aelurodon	stirtoni	9	NA
Alwoodia magna	rodentia	NA	allomyidae	NA	alwoodia	magna	2	NA
Lophiomeryx kargilensis	artiodactyla	NA	lophiomerycidae	NA	lophiomeryx	kargilensis	2	NA
Subathumys solanorius	rodentia	NA	chapattimyidae	NA	subathumys	solanorius	1	NA
Hyracolestes ermineus	proteutheria	eulipotyphla	micropternodontidae	micropternodontidae	hyracolestes	ermineus	4	1
Microparamys minutus	rodentia	NA	ischyromyidae	NA	microparamys	minutus	49	NA
Balaenoptera bonaerensis	cetacea	NA	balaenopteridae	NA	balaenoptera	bonaerensis	1	NA
Parabrachyodus hyopotamoides	NA	artiodactyla	NA	anthracotheriidae	parabrachyodus	hyopotamoides	NA	4
Redunca fulvorufula	artiodactyla	NA	bovidae	NA	redunca	fulvorufula	32	NA
Wilsonosorex conulatus	NA	NA	soricidae	NA	wilsonosorex	conulatus	1	NA
Utemylus serior	macroscelidea	NA	apheliscidae	NA	utemylus	serior	3	NA
Priacodon robustus	eutriconodonta	NA	triconodontidae	NA	priacodon	robustus	1	NA
Hippopotamus incognitus	NA	artiodactyla	NA	hippopotamidae	hippopotamus	incognitus	NA	1
Africanomys major	NA	rodentia	NA	ctenodactylidae	africanomys	major	NA	1
Borophagus secundus	carnivora	NA	canidae	NA	borophagus	secundus	29	NA
Plionictis ogygia	carnivora	NA	mustelidae	NA	plionictis	ogygia	12	NA
Myotis helleri	chiroptera	chiroptera	vespertilionidae	vespertilionidae	myotis	helleri	1	5
Keramidomys ermannorum	NA	rodentia	NA	eomyidae	keramidomys	ermannorum	NA	6
Amphiprox anocerus	NA	artiodactyla	NA	cervidae	amphiprox	anocerus	NA	9
Arvicola deucalion	NA	rodentia	NA	muridae	arvicola	deucalion	NA	2
Entoptychus sheppardi	rodentia	NA	geomyidae	NA	entoptychus	sheppardi	1	NA
Archaeolagus primigenius	lagomorpha	NA	leporidae	NA	archaeolagus	primigenius	5	NA
Madoqua avifluminis	NA	artiodactyla	NA	bovidae	madoqua	avifluminis	NA	5
Prosciurus albiclivus	rodentia	NA	aplodontidae	NA	prosciurus	albiclivus	2	NA
Microbiotherium praecursor	microbiotheria	NA	microbiotheriidae	NA	microbiotherium	praecursor	1	NA
Parikimys carpenteri	multituberculata	NA	neoplagiaulacidae	NA	parikimys	carpenteri	3	NA
Anoiapithecus brevirostris	NA	primates	NA	hominoidea	anoiapithecus	brevirostris	NA	1
Paraglirulus werenfelsi	rodentia	rodentia	gliridae	gliridae	paraglirulus	werenfelsi	18	43
Ritteneria manca	NA	rodentia	NA	eomyidae	ritteneria	manca	NA	16
Lynx issiodorensis	NA	carnivora	NA	felidae	lynx	issiodorensis	NA	43
Peridyromys occitanus	rodentia	rodentia	gliridae	gliridae	peridyromys	occitanus	1	11
Neoplagiaulax macrotomeus	multituberculata	NA	neoplagiaulacidae	NA	neoplagiaulax	macrotomeus	1	NA
Kentriodon hobetsu	cetacea	NA	kentriodontidae	NA	kentriodon	hobetsu	1	NA
Chilotherium kowalevskii	NA	perissodactyla	NA	rhinocerotidae	chilotherium	kowalevskii	NA	8
Bothriodon aymardi	NA	artiodactyla	NA	anthracotheriidae	bothriodon	aymardi	NA	1
Palaeictops borealis	NA	NA	leptictidae	NA	palaeictops	borealis	2	NA
Kuehneodon simpsoni	multituberculata	NA	NA	NA	kuehneodon	simpsoni	1	NA
Hexaprotodon imagunculus	NA	artiodactyla	NA	hippopotamidae	hexaprotodon	imagunculus	NA	10
Paradjidaumo hypsodus	rodentia	NA	eomyidae	NA	paradjidaumo	hypsodus	1	NA
Rhinolophus dehmi	chiroptera	chiroptera	rhinolophidae	rhinolophidae	rhinolophus	dehmi	1	4
Eptesicus mossoczyi	NA	chiroptera	NA	vespertilionidae	eptesicus	mossoczyi	NA	1
Propraopus sulcatus	cingulata	cingulata	dasypodidae	dasypodidae	propraopus	sulcatus	14	2
Ligerimys fahlbuschi	NA	rodentia	NA	eomyidae	ligerimys	fahlbuschi	NA	18
Palaeothentes chubutensis	paucituberculata	NA	palaeothentidae	NA	palaeothentes	chubutensis	2	NA
Sus apscheronicus	NA	artiodactyla	NA	suidae	sus	apscheronicus	NA	1
Persiatherium rodleri	perissodactyla	NA	rhinocerotidae	NA	persiatherium	rodleri	1	NA
Mystacina miocenalis	chiroptera	NA	mystacinidae	NA	mystacina	miocenalis	2	NA
Steatomys pratensis	rodentia	rodentia	muridae	muridae	steatomys	pratensis	7	5
Komba NA	NA	primates	NA	galagidae	komba	NA	NA	1
Plesiodipus progressus	NA	rodentia	NA	muridae	plesiodipus	progressus	NA	3
Cricetinus mesolophidus	NA	rodentia	NA	muridae	cricetinus	mesolophidus	NA	1
Eucricetodon longidens	rodentia	rodentia	cricetidae	muridae	eucricetodon	longidens	4	7
Hipparion forstenae	NA	perissodactyla	NA	equidae	hipparion	forstenae	NA	10
Helladotherium duvernoyi	NA	artiodactyla	NA	giraffidae	helladotherium	duvernoyi	NA	49
Pararyctes rutherfordi	NA	NA	palaeoryctidae	NA	pararyctes	rutherfordi	1	NA
Dicrocerus NA	NA	artiodactyla	NA	cervidae	dicrocerus	NA	NA	24
Baranogale balkanica	NA	carnivora	NA	mustelidae	baranogale	balkanica	NA	1
Protylopus annectens	artiodactyla	NA	oromerycidae	NA	protylopus	annectens	1	NA
Choctawius mckennai	primates	NA	microsyopidae	NA	choctawius	mckennai	1	NA
Andrewsimys parvus	NA	rodentia	NA	phiomyidae	andrewsimys	parvus	NA	2
Paramys hunti	rodentia	NA	ischyromyidae	NA	paramys	hunti	1	NA
Steneofiber castorinus	NA	rodentia	NA	castoridae	steneofiber	castorinus	NA	3
Acheronictis webbi	carnivora	NA	mustelidae	NA	acheronictis	webbi	1	NA
Diamantofelis minor	carnivora	NA	felidae	NA	diamantofelis	minor	1	NA
Ceratotherium NA	NA	perissodactyla	NA	rhinocerotidae	ceratotherium	NA	NA	15
Synaptomys mimomyformis	NA	rodentia	NA	muridae	synaptomys	mimomyformis	NA	1
Anasinopa hassi	NA	creodonta	NA	hyaenodontidae	anasinopa	hassi	NA	1
Chiropodomys calamianensis	NA	rodentia	NA	muridae	chiropodomys	calamianensis	NA	5
Paracamelus agguirrei	artiodactyla	NA	camelidae	NA	paracamelus	agguirrei	1	NA
Mongolestes alxaensis	acreodi	NA	mesonychidae	NA	mongolestes	alxaensis	3	NA
Chaetodipus formosus	rodentia	NA	heteromyidae	NA	chaetodipus	formosus	2	NA
Tsaganolagus wangi	lagomorpha	lagomorpha	NA	leporidae	tsaganolagus	wangi	2	1
Chardinomys louisi	rodentia	rodentia	cricetidae	muridae	chardinomys	louisi	1	3
Myoglis meini	rodentia	rodentia	gliridae	gliridae	myoglis	meini	4	52
Entelodon orientalis	artiodactyla	NA	entelodontidae	NA	entelodon	orientalis	1	NA
Cervus ruscinensis	artiodactyla	NA	cervidae	NA	cervus	ruscinensis	1	NA
Sayimys chinjiensis	NA	rodentia	NA	ctenodactylidae	sayimys	chinjiensis	NA	1
Aegyptocetus tarfa	cetacea	NA	protocetidae	NA	aegyptocetus	tarfa	1	NA
Birgerbohlinia schaubi	NA	artiodactyla	NA	giraffidae	birgerbohlinia	schaubi	NA	5
Dromomeryx borealis	artiodactyla	NA	palaeomerycidae	NA	dromomeryx	borealis	25	NA
Zygomaturus keanei	NA	diprotodontia	NA	diprotodontidae	zygomaturus	keanei	NA	1
Meriones erythrourus	NA	rodentia	NA	gerbillidae	meriones	erythrourus	NA	1
Strigorhysis bridgerensis	primates	NA	omomyidae	NA	strigorhysis	bridgerensis	2	NA
Bothriostylops progressus	NA	NA	arctostylopidae	NA	bothriostylops	progressus	4	NA
Otocyon NA	NA	carnivora	NA	canidae	otocyon	NA	NA	2
Myotis antiquus	NA	chiroptera	NA	vespertilionidae	myotis	antiquus	NA	10
Phoradiadius divortiensis	litopterna	NA	proterotheriidae	NA	phoradiadius	divortiensis	1	NA
Ictitherium robustum	NA	carnivora	NA	hyaenidae	ictitherium	robustum	NA	8
Plesiodimylus gaillardi	NA	eulipotyphla	NA	dimylidae	plesiodimylus	gaillardi	NA	2
Baioconodon middletoni	NA	NA	arctocyonidae	NA	baioconodon	middletoni	1	NA
Euhapsis platyceps	rodentia	NA	castoridae	NA	euhapsis	platyceps	1	NA
Crucimys milleri	rodentia	NA	mylagaulidae	NA	crucimys	milleri	3	NA
Adapis parisiensis	primates	NA	adapidae	NA	adapis	parisiensis	10	NA
Archaeohippus ultimus	perissodactyla	NA	equidae	NA	archaeohippus	ultimus	10	NA
Hypolagus ringoldensis	lagomorpha	NA	leporidae	NA	hypolagus	ringoldensis	13	NA
Rhinolophus kowalskii	NA	chiroptera	NA	rhinolophidae	rhinolophus	kowalskii	NA	6
Ectocion collinus	NA	NA	phenacodontidae	NA	ectocion	collinus	25	NA
Floridatragulus dolichanthereus	artiodactyla	NA	camelidae	NA	floridatragulus	dolichanthereus	1	NA
Miniochoerus gracilis	artiodactyla	NA	merycoidodontidae	NA	miniochoerus	gracilis	36	NA
Mesonyx obtusidens	acreodi	NA	mesonychidae	NA	mesonyx	obtusidens	8	NA
Giraffokeryx punjabiensis	artiodactyla	artiodactyla	giraffidae	giraffidae	giraffokeryx	punjabiensis	7	12
Paramys relictus	rodentia	NA	ischyromyidae	NA	paramys	relictus	29	NA
Synaptomys NA	NA	rodentia	NA	muridae	synaptomys	NA	NA	2
Spermophilus beecheyi	rodentia	NA	sciuridae	NA	spermophilus	beecheyi	5	NA
Edzenius lus	NA	eulipotyphla	NA	nyctitheriidae	edzenius	lus	NA	1
Microtus brecciensis	rodentia	rodentia	cricetidae	muridae	microtus	brecciensis	13	1
Yamatocetus canaliculatus	cetacea	NA	eomysticetidae	NA	yamatocetus	canaliculatus	1	NA
Proeremotherium eljebe	xenarthra	NA	megatheriidae	NA	proeremotherium	eljebe	1	NA
Sorex vagrans	NA	NA	soricidae	NA	sorex	vagrans	1	NA
Pliohippus potosinus	perissodactyla	NA	equidae	NA	pliohippus	potosinus	1	NA
Bothriodon sandaensis	artiodactyla	artiodactyla	anthracotheriidae	anthracotheriidae	bothriodon	sandaensis	1	1
Plesictis dieupentalensis	NA	carnivora	NA	mustelidae	plesictis	dieupentalensis	NA	1
Leptomeryx yoderi	artiodactyla	NA	leptomerycidae	NA	leptomeryx	yoderi	6	NA
Prolagus major	NA	lagomorpha	NA	ochotonidae	prolagus	major	NA	6
Eobaatar hispanicus	multituberculata	NA	eobaataridae	NA	eobaatar	hispanicus	2	NA
Ancylotherium cheboitense	NA	perissodactyla	NA	chalicotheriidae	ancylotherium	cheboitense	NA	1
Hipparion albertense	NA	perissodactyla	NA	equidae	hipparion	albertense	NA	4
Asterattus longicristatus	rodentia	NA	chapattimyidae	NA	asterattus	longicristatus	1	NA
Aelurodon taxoides	carnivora	NA	canidae	NA	aelurodon	taxoides	62	NA
Kanuites lewisae	NA	carnivora	NA	viverravidae	kanuites	lewisae	NA	1
Procapra gutturosa	NA	artiodactyla	NA	bovidae	procapra	gutturosa	NA	1
Pseudotomus eugenei	rodentia	NA	paramyidae	NA	pseudotomus	eugenei	5	NA
Plesiadapis insignis	primates	NA	plesiadapidae	NA	plesiadapis	insignis	1	NA
Cimolestes stirtoni	cimolesta	NA	cimolestidae	NA	cimolestes	stirtoni	7	NA
Bathygenys hedlundae	artiodactyla	NA	merycoidodontidae	NA	bathygenys	hedlundae	3	NA
Palaeoryctes punctatus	NA	NA	palaeoryctidae	NA	palaeoryctes	punctatus	10	NA
Myotis rapax	NA	chiroptera	NA	vespertilionidae	myotis	rapax	NA	1
Deltatherium fundaminis	NA	NA	leptictidae	NA	deltatherium	fundaminis	10	NA
Eutamias minimus	rodentia	NA	sciuridae	NA	eutamias	minimus	10	NA
Cainotherium NA	NA	artiodactyla	NA	cainotheriidae	cainotherium	NA	NA	24
Theridomys perrealensis	NA	rodentia	NA	theridomyidae	theridomys	perrealensis	NA	1
Moeripithecus markgrafi	NA	primates	NA	propliopithecidae	moeripithecus	markgrafi	NA	1
Eodelphinus kabatensis	cetacea	NA	delphinidae	NA	eodelphinus	kabatensis	1	NA
Eptesicus noctidoides	NA	chiroptera	NA	vespertilionidae	eptesicus	noctidoides	NA	1
Hexaprotodon coryndoni	artiodactyla	NA	hippopotamidae	NA	hexaprotodon	coryndoni	1	NA
Zignodelphis miocaenus	cetacea	NA	eoplatanistidae	NA	zignodelphis	miocaenus	1	NA
Afromeryx africanus	NA	artiodactyla	NA	anthracotheriidae	afromeryx	africanus	NA	1
Archaeodelphis patrius	cetacea	NA	xenorophidae	NA	archaeodelphis	patrius	1	NA
Haplomylus bozemanensis	macroscelidea	NA	apheliscidae	NA	haplomylus	bozemanensis	11	NA
Peromyscus complexus	rodentia	NA	cricetidae	NA	peromyscus	complexus	2	NA
Microtodon loczyi	NA	rodentia	NA	muridae	microtodon	loczyi	NA	5
Perutherium altiplanense	condylarthra	NA	NA	NA	perutherium	altiplanense	1	NA
Galecyon gallus	hyaenodonta	NA	hyaenodontidae	NA	galecyon	gallus	1	NA
Trigonias wellsi	perissodactyla	NA	rhinocerotidae	NA	trigonias	wellsi	3	NA
Dichobune fraasi	artiodactyla	artiodactyla	dichobunidae	dichobunidae	dichobune	fraasi	2	1
Caracal serval	carnivora	NA	felidae	NA	caracal	serval	12	NA
Cynelos minor	NA	carnivora	NA	amphicyonidae	cynelos	minor	NA	1
Apternodus brevirostris	NA	NA	apternodontidae	NA	apternodus	brevirostris	5	NA
Desmana meridionalis	NA	eulipotyphla	NA	talpidae	desmana	meridionalis	NA	1
Anchitheriomys stouti	rodentia	NA	castoridae	NA	anchitheriomys	stouti	1	NA
Perimys impactus	rodentia	NA	eryomyidae	NA	perimys	impactus	1	NA
Periphragnis palmeri	notoungulata	NA	isotemnidae	NA	periphragnis	palmeri	1	NA
Choerolophodon anatolicus	proboscidea	proboscidea	gomphotheriidae	gomphotheriidae	choerolophodon	anatolicus	1	6
Plagiolophus minor	NA	perissodactyla	NA	palaeotheriidae	plagiolophus	minor	NA	3
Myotis boyeri	chiroptera	chiroptera	vespertilionidae	vespertilionidae	myotis	boyeri	3	5
Guilestes acares	acreodi	NA	mesonychidae	NA	guilestes	acares	2	NA
Obergfellia occidentalis	perissodactyla	NA	anthracobunidae	NA	obergfellia	occidentalis	3	NA
Gomphotherium serridentoides	NA	proboscidea	NA	gomphotheriidae	gomphotherium	serridentoides	NA	2
Thylacoleo crassidentatus	diprotodontia	NA	thylacoleonidae	NA	thylacoleo	crassidentatus	2	NA
Moeritherium trigonodon	proboscidea	NA	moeritheriidae	NA	moeritherium	trigonodon	2	NA
Tamias NA	NA	rodentia	NA	sciuridae	tamias	NA	NA	29
Giraffa priscilla	artiodactyla	artiodactyla	giraffidae	giraffidae	giraffa	priscilla	1	1
Collimys dobosi	NA	rodentia	NA	muridae	collimys	dobosi	NA	5
Galbreathia novellus	rodentia	NA	mylagaulidae	NA	galbreathia	novellus	12	NA
Gomphotaria pugnax	carnivora	NA	odobenidae	NA	gomphotaria	pugnax	1	NA
Macrotragus shansiensis	NA	artiodactyla	NA	bovidae	macrotragus	shansiensis	NA	1
Sianodon ulausuensis	perissodactyla	NA	amynodontidae	NA	sianodon	ulausuensis	1	NA
